filename,n_atoms,energy,energy_per_atom
788.xyz,20,-1547.417307,-77.37086535
950.xyz,20,-1555.845105,-77.79225525000001
944.xyz,20,-1554.635058,-77.7317529
978.xyz,20,-1552.904167,-77.64520834999999
993.xyz,20,-1552.718875,-77.63594375
987.xyz,20,-1553.639654,-77.6819827
777.xyz,20,-1555.557674,-77.77788369999999
763.xyz,20,-1546.391135,-77.31955675
549.xyz,20,-1549.479695,-77.47398475
213.xyz,20,-1554.257775,-77.71288875
575.xyz,20,-1553.700014,-77.6850007
561.xyz,20,-1547.29697,-77.36484850000001
207.xyz,20,-1551.265371,-77.56326855
398.xyz,20,-1551.604581,-77.58022905
429.xyz,20,-1551.940378,-77.5970189
367.xyz,20,-1551.887826,-77.5943913
401.xyz,20,-1548.702202,-77.4351101
415.xyz,20,-1550.807171,-77.54035855
373.xyz,20,-1547.094597,-77.35472985
824.xyz,20,-1553.156732,-77.6578366
64.xyz,20,-1550.126944,-77.50634720000001
830.xyz,20,-1551.918312,-77.5959156
70.xyz,20,-1551.174891,-77.55874455
818.xyz,20,-1555.373209,-77.76866045
58.xyz,20,-1550.892601,-77.54463005
159.xyz,20,-1551.456898,-77.57284489999999
603.xyz,20,-1551.1509,-77.557545
165.xyz,20,-1549.495734,-77.47478670000001
171.xyz,20,-1551.426597,-77.57132985
617.xyz,20,-1546.204157,-77.31020785
170.xyz,20,-1550.379914,-77.5189957
616.xyz,20,-1541.049554,-77.0524777
602.xyz,20,-1552.719953,-77.63599765000001
164.xyz,20,-1551.721778,-77.58608890000001
158.xyz,20,-1549.718818,-77.4859409
59.xyz,20,-1551.115428,-77.5557714
819.xyz,20,-1555.694358,-77.7847179
71.xyz,20,-1547.718672,-77.3859336
831.xyz,20,-1555.167578,-77.7583789
65.xyz,20,-1546.95163,-77.3475815
825.xyz,20,-1555.915113,-77.79575565
414.xyz,20,-1550.268669,-77.51343345000001
372.xyz,20,-1549.354072,-77.46770360000001
366.xyz,20,-1551.887829,-77.59439145
400.xyz,20,-1548.002142,-77.4001071
428.xyz,20,-1551.077819,-77.55389095000001
399.xyz,20,-1551.400497,-77.57002485000001
560.xyz,20,-1551.335931,-77.56679655
206.xyz,20,-1550.104063,-77.50520315
212.xyz,20,-1552.074969,-77.60374845
574.xyz,20,-1553.708937,-77.68544685
548.xyz,20,-1550.102552,-77.50512760000001
762.xyz,20,-1550.489205,-77.52446025
776.xyz,20,-1550.477906,-77.5238953
986.xyz,20,-1552.882114,-77.6441057
992.xyz,20,-1549.54879,-77.4774395
979.xyz,20,-1551.68254,-77.584127
945.xyz,20,-1554.096016,-77.7048008
951.xyz,20,-1552.132459,-77.60662295
789.xyz,20,-1553.543247,-77.67716235
947.xyz,20,-1555.845086,-77.7922543
953.xyz,20,-1553.124264,-77.6562132
984.xyz,20,-1552.800208,-77.64001040000001
990.xyz,20,-1549.148376,-77.4574188
748.xyz,20,-1549.455719,-77.47278595
760.xyz,20,-1553.639651,-77.68198255
774.xyz,20,-1555.706711,-77.78533555
589.xyz,20,-1548.150403,-77.40752015000001
238.xyz,20,-1551.05167,-77.5525835
204.xyz,20,-1551.698414,-77.5849207
562.xyz,20,-1551.335925,-77.56679625000001
576.xyz,20,-1553.699996,-77.6849998
210.xyz,20,-1553.214181,-77.66070905000001
358.xyz,20,-1550.262028,-77.51310140000001
370.xyz,20,-1554.932966,-77.7466483
416.xyz,20,-1552.851497,-77.64257485
402.xyz,20,-1549.05345,-77.4526725
364.xyz,20,-1550.262022,-77.5131011
833.xyz,20,-1554.654768,-77.7327384
73.xyz,20,-1552.645581,-77.63227905
199.xyz,20,-1551.716509,-77.58582545
827.xyz,20,-1550.525383,-77.52626914999999
67.xyz,20,-1542.676778,-77.1338389
9.xyz,20,-1554.810396,-77.7405198
628.xyz,20,-1544.889726,-77.2444863
614.xyz,20,-1550.667636,-77.5333818
172.xyz,20,-1551.778221,-77.58891105000001
166.xyz,20,-1551.938352,-77.5969176
98.xyz,20,-1553.335317,-77.66676585
600.xyz,20,-1551.742881,-77.58714404999999
167.xyz,20,-1549.048909,-77.45244545
601.xyz,20,-1551.561585,-77.57807925
99.xyz,20,-1546.665516,-77.3332758
615.xyz,20,-1551.065551,-77.55327754999999
173.xyz,20,-1551.568962,-77.5784481
629.xyz,20,-1547.176484,-77.3588242
8.xyz,20,-1548.082634,-77.40413170000001
198.xyz,20,-1554.016208,-77.7008104
66.xyz,20,-1550.241701,-77.51208505
826.xyz,20,-1550.52539,-77.5262695
72.xyz,20,-1552.638205,-77.63191025
832.xyz,20,-1549.369223,-77.46846115
403.xyz,20,-1548.608567,-77.43042835
365.xyz,20,-1550.262028,-77.51310140000001
371.xyz,20,-1548.465157,-77.42325785
417.xyz,20,-1548.429413,-77.42147065
359.xyz,20,-1549.476558,-77.4738279
577.xyz,20,-1553.700013,-77.68500064999999
211.xyz,20,-1552.032323,-77.60161615
205.xyz,20,-1553.787663,-77.68938315
563.xyz,20,-1548.841594,-77.4420797
239.xyz,20,-1549.976112,-77.4988056
588.xyz,20,-1554.545186,-77.7272593
775.xyz,20,-1553.403897,-77.67019485
761.xyz,20,-1553.63631,-77.6818155
749.xyz,20,-1549.455723,-77.47278615
991.xyz,20,-1549.998946,-77.4999473
985.xyz,20,-1554.812138,-77.7406069
952.xyz,20,-1555.942376,-77.79711879999999
946.xyz,20,-1553.632494,-77.6816247
942.xyz,20,-1550.003267,-77.50016335000001
956.xyz,20,-1555.674641,-77.78373205
765.xyz,20,-1549.014071,-77.45070355
771.xyz,20,-1552.169721,-77.60848605
981.xyz,20,-1552.649272,-77.63246360000001
759.xyz,20,-1554.689836,-77.7344918
995.xyz,20,-1550.631924,-77.5315962
598.xyz,20,-1550.228199,-77.51140995
567.xyz,20,-1551.699198,-77.5849599
201.xyz,20,-1553.274827,-77.66374135
215.xyz,20,-1552.735692,-77.6367846
573.xyz,20,-1553.710575,-77.68552875
229.xyz,20,-1550.638124,-77.53190620000001
413.xyz,20,-1550.69955,-77.5349775
375.xyz,20,-1551.318756,-77.5659378
361.xyz,20,-1546.090025,-77.30450125
407.xyz,20,-1549.946961,-77.49734805
349.xyz,20,-1550.833383,-77.54166914999999
188.xyz,20,-1547.449101,-77.37245505
836.xyz,20,-1551.739287,-77.58696435
76.xyz,20,-1547.718682,-77.3859341
822.xyz,20,-1551.706449,-77.58532245
62.xyz,20,-1546.781008,-77.33905039999999
177.xyz,20,-1551.619152,-77.5809576
611.xyz,20,-1550.947686,-77.5473843
89.xyz,20,-1545.073652,-77.2536826
605.xyz,20,-1551.560921,-77.57804605
163.xyz,20,-1551.023051,-77.55115255
639.xyz,20,-1555.676483,-77.78382415
638.xyz,20,-1555.922577,-77.79612885
604.xyz,20,-1553.262867,-77.66314335
162.xyz,20,-1549.76543,-77.4882715
176.xyz,20,-1550.379935,-77.51899675
88.xyz,20,-1549.233864,-77.4616932
610.xyz,20,-1550.650115,-77.53250575
63.xyz,20,-1546.951625,-77.34758124999999
823.xyz,20,-1551.670191,-77.58350955
189.xyz,20,-1551.039607,-77.55198035
77.xyz,20,-1549.852565,-77.49262825
837.xyz,20,-1552.301842,-77.6150921
348.xyz,20,-1554.381549,-77.71907745
360.xyz,20,-1547.749368,-77.3874684
406.xyz,20,-1550.594139,-77.52970695
412.xyz,20,-1548.963051,-77.44815255
374.xyz,20,-1549.494856,-77.4747428
228.xyz,20,-1552.845255,-77.64226275
214.xyz,20,-1553.042783,-77.65213915000001
572.xyz,20,-1547.985151,-77.39925755
566.xyz,20,-1550.733463,-77.53667315
200.xyz,20,-1553.209933,-77.66049665
599.xyz,20,-1551.459571,-77.57297855
994.xyz,20,-1552.440062,-77.6220031
758.xyz,20,-1550.030158,-77.50150790000001
980.xyz,20,-1553.759792,-77.68798960000001
770.xyz,20,-1553.644068,-77.6822034
764.xyz,20,-1547.928309,-77.39641544999999
957.xyz,20,-1555.674592,-77.7837296
943.xyz,20,-1553.987536,-77.69937680000001
969.xyz,20,-1550.25018,-77.512509
955.xyz,20,-1549.960485,-77.49802425
799.xyz,20,-1552.836919,-77.64184595
941.xyz,20,-1555.674608,-77.7837304
772.xyz,20,-1551.936736,-77.5968368
766.xyz,20,-1550.7013,-77.535065
996.xyz,20,-1549.48106,-77.474053
982.xyz,20,-1552.831156,-77.6415578
570.xyz,20,-1550.043598,-77.5021799
216.xyz,20,-1552.489716,-77.6244858
202.xyz,20,-1552.578575,-77.62892875
564.xyz,20,-1551.335927,-77.56679635
558.xyz,20,-1552.032867,-77.60164334999999
389.xyz,20,-1550.760129,-77.53800645
404.xyz,20,-1550.809228,-77.5404614
362.xyz,20,-1550.210642,-77.5105321
376.xyz,20,-1550.081088,-77.5040544
410.xyz,20,-1551.521198,-77.57605989999999
438.xyz,20,-1549.1211,-77.456055
809.xyz,20,-1545.009153,-77.25045765
49.xyz,20,-1547.898428,-77.3949214
821.xyz,20,-1555.676459,-77.78382295
61.xyz,20,-1547.226146,-77.36130729999999
835.xyz,20,-1549.752334,-77.4876167
75.xyz,20,-1552.645517,-77.63227585
160.xyz,20,-1553.788891,-77.68944454999999
606.xyz,20,-1550.157216,-77.5078608
612.xyz,20,-1551.759593,-77.58797965
174.xyz,20,-1553.048988,-77.6524494
148.xyz,20,-1554.182181,-77.70910905
149.xyz,20,-1546.873976,-77.3436988
613.xyz,20,-1553.033549,-77.65167745
175.xyz,20,-1551.248134,-77.5624067
161.xyz,20,-1551.884971,-77.59424855
607.xyz,20,-1551.560926,-77.57804630000001
74.xyz,20,-1549.217736,-77.4608868
834.xyz,20,-1551.739284,-77.5869642
60.xyz,20,-1551.115408,-77.5557704
820.xyz,20,-1553.490919,-77.67454595000001
48.xyz,20,-1552.19035,-77.60951750000001
808.xyz,20,-1544.872021,-77.24360105
439.xyz,20,-1548.115283,-77.40576415000001
377.xyz,20,-1548.409178,-77.4204589
411.xyz,20,-1549.49443,-77.4747215
405.xyz,20,-1550.233496,-77.51167480000001
363.xyz,20,-1551.887828,-77.59439139999999
388.xyz,20,-1544.703547,-77.23517735
559.xyz,20,-1549.873307,-77.49366535
203.xyz,20,-1553.012721,-77.65063605
565.xyz,20,-1553.448187,-77.67240935
571.xyz,20,-1550.966515,-77.54832575
217.xyz,20,-1549.633575,-77.48167875
983.xyz,20,-1553.339987,-77.66699935
997.xyz,20,-1552.75686,-77.637843
767.xyz,20,-1554.229044,-77.7114522
773.xyz,20,-1552.69981,-77.6349905
940.xyz,20,-1554.604487,-77.73022435
798.xyz,20,-1552.565967,-77.62829835
954.xyz,20,-1554.545393,-77.72726965000001
968.xyz,20,-1554.378923,-77.71894615
933.xyz,20,-1555.66793,-77.78339650000001
927.xyz,20,-1550.796882,-77.53984410000001
728.xyz,20,-1552.903865,-77.64519325
714.xyz,20,-1552.155126,-77.6077563
700.xyz,20,-1553.479507,-77.67397535
258.xyz,20,-1552.351316,-77.6175658
516.xyz,20,-1549.450437,-77.47252184999999
270.xyz,20,-1551.392567,-77.56962835
264.xyz,20,-1550.474668,-77.5237334
502.xyz,20,-1551.335927,-77.56679635
489.xyz,20,-1550.260435,-77.51302175
338.xyz,20,-1552.226529,-77.61132645
462.xyz,20,-1552.998814,-77.6499407
304.xyz,20,-1554.876582,-77.7438291
310.xyz,20,-1551.834287,-77.59171434999999
476.xyz,20,-1551.16115,-77.55805749999999
847.xyz,20,-1554.665117,-77.73325585
853.xyz,20,-1551.956153,-77.59780765000001
13.xyz,20,-1554.128204,-77.70641020000001
884.xyz,20,-1553.494883,-77.67474415000001
648.xyz,20,-1552.022128,-77.6011064
890.xyz,20,-1554.389354,-77.7194677
106.xyz,20,-1550.422336,-77.5211168
660.xyz,20,-1554.182184,-77.7091092
674.xyz,20,-1551.344422,-77.5672211
112.xyz,20,-1550.2891,-77.514455
675.xyz,20,-1551.355813,-77.56779064999999
113.xyz,20,-1555.23919,-77.7619595
107.xyz,20,-1549.506412,-77.4753206
661.xyz,20,-1551.606078,-77.5803039
891.xyz,20,-1554.834936,-77.7417468
649.xyz,20,-1552.044407,-77.60222035000001
885.xyz,20,-1553.0026,-77.65013
12.xyz,20,-1554.008166,-77.7004083
852.xyz,20,-1552.596598,-77.6298299
846.xyz,20,-1553.343248,-77.6671624
311.xyz,20,-1551.003825,-77.55019125
477.xyz,20,-1551.749488,-77.58747439999999
463.xyz,20,-1549.654759,-77.48273795
305.xyz,20,-1547.329156,-77.3664578
339.xyz,20,-1547.468634,-77.3734317
488.xyz,20,-1548.192767,-77.40963835
265.xyz,20,-1550.610802,-77.5305401
503.xyz,20,-1548.442847,-77.42214235
517.xyz,20,-1548.749433,-77.43747164999999
271.xyz,20,-1555.796442,-77.78982210000001
259.xyz,20,-1554.009292,-77.7004646
701.xyz,20,-1553.442527,-77.67212635
715.xyz,20,-1553.448611,-77.67243055
729.xyz,20,-1555.438576,-77.7719288
926.xyz,20,-1552.853188,-77.6426594
932.xyz,20,-1551.217809,-77.56089045
924.xyz,20,-1552.400677,-77.62003385
930.xyz,20,-1555.330285,-77.76651425
918.xyz,20,-1555.942374,-77.7971187
703.xyz,20,-1552.735003,-77.63675015
717.xyz,20,-1550.456529,-77.52282645
298.xyz,20,-1552.069902,-77.6034951
529.xyz,20,-1553.103225,-77.65516125
501.xyz,20,-1548.667523,-77.43337615
267.xyz,20,-1551.504715,-77.57523575
273.xyz,20,-1554.417046,-77.7208523
515.xyz,20,-1551.618388,-77.5809194
449.xyz,20,-1550.761665,-77.53808325
475.xyz,20,-1553.103227,-77.65516135
313.xyz,20,-1555.674617,-77.78373085
307.xyz,20,-1552.976783,-77.64883915
461.xyz,20,-1548.124179,-77.40620894999999
850.xyz,20,-1552.873748,-77.6436874
10.xyz,20,-1555.417784,-77.7708892
688.xyz,20,-1554.73131,-77.7365655
844.xyz,20,-1553.324241,-77.66621205
878.xyz,20,-1551.869888,-77.5934944
38.xyz,20,-1545.768123,-77.28840615
893.xyz,20,-1552.314965,-77.61574825
887.xyz,20,-1552.954069,-77.64770345
139.xyz,20,-1552.557847,-77.62789235
111.xyz,20,-1555.687918,-77.7843959
677.xyz,20,-1550.245202,-77.5122601
663.xyz,20,-1552.234793,-77.61173965
105.xyz,20,-1551.619445,-77.58097225
662.xyz,20,-1553.844198,-77.6922099
104.xyz,20,-1550.422329,-77.52111645
110.xyz,20,-1549.161931,-77.45809655000001
676.xyz,20,-1550.101748,-77.50508740000001
886.xyz,20,-1553.69394,-77.684697
138.xyz,20,-1551.688837,-77.58444184999999
892.xyz,20,-1553.621115,-77.68105575
39.xyz,20,-1550.21064,-77.510532
879.xyz,20,-1552.043035,-77.60215174999999
845.xyz,20,-1552.316722,-77.6158361
689.xyz,20,-1554.230801,-77.71154005
11.xyz,20,-1554.756643,-77.73783215
851.xyz,20,-1551.179612,-77.5589806
306.xyz,20,-1552.054229,-77.60271145
460.xyz,20,-1550.161542,-77.50807710000001
474.xyz,20,-1553.103225,-77.65516125
312.xyz,20,-1553.987531,-77.69937655
448.xyz,20,-1550.016004,-77.5008002
272.xyz,20,-1554.24416,-77.712208
514.xyz,20,-1551.848339,-77.59241695
500.xyz,20,-1552.03286,-77.601643
266.xyz,20,-1551.874621,-77.59373105
528.xyz,20,-1550.159756,-77.5079878
299.xyz,20,-1553.880941,-77.69404705
716.xyz,20,-1551.364619,-77.56823095
702.xyz,20,-1552.112417,-77.60562085000001
919.xyz,20,-1555.881308,-77.7940654
931.xyz,20,-1555.433278,-77.7716639
925.xyz,20,-1552.853189,-77.64265945
909.xyz,20,-1551.470058,-77.57350290000001
921.xyz,20,-1552.126797,-77.60633985
935.xyz,20,-1553.964507,-77.69822535
706.xyz,20,-1555.569022,-77.7784511
712.xyz,20,-1551.950672,-77.59753359999999
289.xyz,20,-1551.7881,-77.589405
262.xyz,20,-1552.366152,-77.61830760000001
504.xyz,20,-1548.139368,-77.40696840000001
510.xyz,20,-1549.572931,-77.47864655
276.xyz,20,-1551.769261,-77.58846305
538.xyz,20,-1551.077227,-77.55386135
316.xyz,20,-1555.942377,-77.79711885
470.xyz,20,-1550.241691,-77.51208455
464.xyz,20,-1551.656057,-77.58280285
302.xyz,20,-1555.594658,-77.7797329
458.xyz,20,-1548.722512,-77.4361256
869.xyz,20,-1553.636297,-77.68181485
29.xyz,20,-1548.396871,-77.41984355
855.xyz,20,-1545.009155,-77.25045775
15.xyz,20,-1551.37442,-77.56872100000001
841.xyz,20,-1549.528714,-77.4764357
699.xyz,20,-1550.551727,-77.52758635
672.xyz,20,-1552.177724,-77.6088862
114.xyz,20,-1555.239197,-77.76195985000001
100.xyz,20,-1552.217633,-77.61088165
666.xyz,20,-1551.731636,-77.5865818
896.xyz,20,-1553.540372,-77.6770186
128.xyz,20,-1551.041262,-77.5520631
882.xyz,20,-1552.063497,-77.60317485
883.xyz,20,-1553.468841,-77.67344205
897.xyz,20,-1552.553079,-77.62765395
129.xyz,20,-1552.849328,-77.6424664
101.xyz,20,-1552.886542,-77.6443271
667.xyz,20,-1552.51333,-77.6256665
673.xyz,20,-1552.777499,-77.63887495
115.xyz,20,-1555.19279,-77.7596395
698.xyz,20,-1551.406809,-77.57034045
840.xyz,20,-1552.781831,-77.63909155
14.xyz,20,-1552.866415,-77.64332075
854.xyz,20,-1553.238322,-77.6619161
28.xyz,20,-1554.990032,-77.7495016
868.xyz,20,-1544.800755,-77.24003775
459.xyz,20,-1548.124177,-77.40620885
465.xyz,20,-1549.737256,-77.4868628
303.xyz,20,-1551.426123,-77.57130615
317.xyz,20,-1541.630744,-77.0815372
471.xyz,20,-1550.956912,-77.5478456
539.xyz,20,-1551.630032,-77.5815016
511.xyz,20,-1551.65404,-77.582702
277.xyz,20,-1554.470402,-77.7235201
263.xyz,20,-1553.586011,-77.67930055000001
505.xyz,20,-1551.920745,-77.59603725
288.xyz,20,-1553.835336,-77.69176680000001
713.xyz,20,-1553.830173,-77.69150865
707.xyz,20,-1554.357546,-77.7178773
934.xyz,20,-1555.942374,-77.7971187
920.xyz,20,-1550.703443,-77.53517215000001
908.xyz,20,-1538.497324,-76.9248662
936.xyz,20,-1555.915122,-77.7957561
922.xyz,20,-1553.33042,-77.666521
711.xyz,20,-1551.003084,-77.5501542
705.xyz,20,-1553.88473,-77.6942365
739.xyz,20,-1552.661507,-77.63307535
275.xyz,20,-1555.438587,-77.77192935000001
513.xyz,20,-1550.37212,-77.518606
507.xyz,20,-1550.487256,-77.52436279999999
261.xyz,20,-1551.830198,-77.5915099
249.xyz,20,-1551.799014,-77.5899507
498.xyz,20,-1552.032863,-77.60164315
301.xyz,20,-1551.841099,-77.59205495
467.xyz,20,-1548.472055,-77.42360275
473.xyz,20,-1551.749484,-77.5874742
315.xyz,20,-1555.942373,-77.79711865
329.xyz,20,-1554.514736,-77.7257368
842.xyz,20,-1552.273042,-77.6136521
856.xyz,20,-1545.009163,-77.25045815
16.xyz,20,-1550.84607,-77.5423035
665.xyz,20,-1553.471863,-77.67359315
103.xyz,20,-1548.519202,-77.4259601
117.xyz,20,-1547.451362,-77.3725681
671.xyz,20,-1551.897453,-77.59487265
659.xyz,20,-1552.324414,-77.6162207
881.xyz,20,-1552.331671,-77.61658355
895.xyz,20,-1553.893351,-77.69466754999999
894.xyz,20,-1554.551221,-77.72756104999999
880.xyz,20,-1552.715048,-77.6357524
658.xyz,20,-1553.215698,-77.6607849
116.xyz,20,-1548.984913,-77.44924565
670.xyz,20,-1552.308032,-77.6154016
664.xyz,20,-1552.621306,-77.6310653
102.xyz,20,-1544.625769,-77.23128845
17.xyz,20,-1551.374404,-77.5687202
857.xyz,20,-1545.009171,-77.25045854999999
843.xyz,20,-1552.273041,-77.61365205
328.xyz,20,-1554.514728,-77.7257364
472.xyz,20,-1551.618391,-77.58091955
314.xyz,20,-1555.676499,-77.78382495
300.xyz,20,-1552.56552,-77.628276
466.xyz,20,-1549.701493,-77.48507465
499.xyz,20,-1549.843263,-77.49216315
248.xyz,20,-1554.035365,-77.70176825
506.xyz,20,-1553.103221,-77.65516105
260.xyz,20,-1551.914427,-77.59572134999999
274.xyz,20,-1551.32226,-77.566113
512.xyz,20,-1550.700124,-77.5350062
738.xyz,20,-1549.754092,-77.4877046
704.xyz,20,-1552.797933,-77.63989665
710.xyz,20,-1553.719385,-77.68596925
923.xyz,20,-1549.705642,-77.48528209999999
937.xyz,20,-1545.197863,-77.25989315000001
912.xyz,20,-1550.586783,-77.52933915
906.xyz,20,-1549.364491,-77.46822455
709.xyz,20,-1555.114359,-77.75571794999999
735.xyz,20,-1555.485703,-77.77428515
721.xyz,20,-1554.468774,-77.7234387
292.xyz,20,-1551.311521,-77.56557605
286.xyz,20,-1553.930584,-77.6965292
279.xyz,20,-1553.57009,-77.6785045
537.xyz,20,-1548.343339,-77.41716695
251.xyz,20,-1552.917706,-77.6458853
245.xyz,20,-1552.083989,-77.60419945
523.xyz,20,-1547.094598,-77.3547299
480.xyz,20,-1551.329523,-77.56647615
494.xyz,20,-1551.827768,-77.5913884
319.xyz,20,-1555.676496,-77.7838248
443.xyz,20,-1551.328773,-77.56643865
325.xyz,20,-1551.880754,-77.5940377
331.xyz,20,-1555.507573,-77.77537865000001
457.xyz,20,-1548.343345,-77.41716725
866.xyz,20,-1545.254021,-77.26270105
26.xyz,20,-1554.608889,-77.73044445000001
872.xyz,20,-1553.599614,-77.6799807
32.xyz,20,-1548.886616,-77.4443308
682.xyz,20,-1550.464354,-77.5232177
696.xyz,20,-1553.758535,-77.68792675
669.xyz,20,-1553.109806,-77.6554903
127.xyz,20,-1546.662154,-77.3331077
641.xyz,20,-1553.475963,-77.67379815000001
899.xyz,20,-1544.889708,-77.2444854
655.xyz,20,-1551.558326,-77.5779163
133.xyz,20,-1550.714961,-77.53574805
654.xyz,20,-1552.778519,-77.63892595
132.xyz,20,-1548.496886,-77.42484429999999
126.xyz,20,-1546.874346,-77.34371730000001
898.xyz,20,-1555.581085,-77.77905425
640.xyz,20,-1549.316976,-77.4658488
668.xyz,20,-1552.37017,-77.61850849999999
697.xyz,20,-1551.85119,-77.59255950000001
683.xyz,20,-1551.499398,-77.5749699
33.xyz,20,-1548.886606,-77.4443303
